0,5,10,14
0,5,10,18,14
0,5,8,10,14
0,1,5,10,14
0,1,2,5,10,14
0,5,10,18,20,14
0,5,8,10,18,14
0,1,5,10,18,14
0,5,10,11,15,14
0,5,8,11,15,14
0,1,2,8,10,14
0,5,7,8,10,14
0,1,5,8,10,14
0,5,3,8,10,14
0,5,2,8,10,14
0,5,8,11,10,14
0,1,2,3,5,10,14
0,5,10,11,15,20,14
0,1,5,10,18,20,14
0,5,8,10,18,20,14
0,5,8,11,15,20,14
0,5,8,11,10,18,14
0,5,2,8,10,18,14
0,5,3,8,10,18,14
0,1,5,8,10,18,14
0,5,7,8,10,18,14
0,1,2,8,10,18,14
0,1,2,5,10,18,14
0,5,8,10,11,15,14
0,1,5,10,11,15,14
0,5,2,8,11,15,14
0,5,3,8,11,15,14
0,1,5,8,11,15,14
0,5,7,8,11,15,14
0,5,10,8,11,15,14
0,5,7,9,12,15,14
0,5,10,11,12,15,14
0,5,8,11,12,15,14
0,5,8,9,12,15,14
0,5,10,18,20,15,14
0,1,2,8,11,15,14
0,1,2,8,5,10,14
0,1,2,7,5,10,14
0,5,1,2,8,10,14
0,5,7,9,8,10,14
0,5,2,7,8,10,14
0,5,3,7,8,10,14
0,1,5,7,8,10,14
0,1,2,7,8,10,14
0,1,2,5,8,10,14
0,5,2,3,8,10,14
0,1,5,3,8,10,14
0,5,7,3,8,10,14
0,1,2,3,8,10,14
0,5,3,2,8,10,14
0,1,5,2,8,10,14
0,5,7,2,8,10,14
0,1,2,8,11,10,14
0,5,2,8,11,10,14
0,5,3,8,11,10,14
0,1,5,8,11,10,14
0,5,7,8,11,10,14
