1,5,10
1,0,5,10
1,5,8,10
1,2,8,10
1,2,5,10
1,2,3,5,10
1,5,8,11,10
1,2,8,11,10
1,2,3,8,10
1,5,3,8,10
1,0,5,8,10
1,2,5,8,10
1,2,7,8,10
1,5,7,8,10
1,5,2,8,10
1,2,7,5,10
1,2,8,5,10
1,2,8,3,5,10
1,5,7,8,11,10
1,2,7,8,11,10
1,2,5,8,11,10
1,0,5,8,11,10
1,5,3,8,11,10
1,2,3,8,11,10
1,5,2,8,11,10
1,5,7,2,8,10
1,0,5,2,8,10
1,5,2,3,8,10
1,5,7,3,8,10
1,2,7,3,8,10
1,2,5,3,8,10
1,0,5,3,8,10
1,2,4,3,8,10
1,2,3,5,8,10
1,2,7,5,8,10
1,5,2,7,8,10
1,2,5,7,8,10
1,0,5,7,8,10
1,2,4,7,8,10
1,5,3,7,8,10
1,2,3,7,8,10
1,2,7,9,8,10
1,5,7,9,8,10
1,5,3,2,8,10
1,2,7,3,5,10
1,2,4,3,5,10
1,2,8,7,5,10
1,2,4,7,5,10
1,2,3,7,5,10
1,2,7,8,5,10
1,2,3,8,5,10
