10,11,12
10,8,9,12
10,14,15,12
10,11,15,12
10,8,11,12
10,5,7,9,12
10,14,15,22,12
10,11,15,22,12
10,14,15,21,12
10,18,20,21,12
10,14,20,21,12
10,11,15,21,12
10,14,15,17,12
10,11,15,17,12
10,18,14,15,12
10,18,20,15,12
10,14,20,15,12
10,8,11,15,12
10,8,9,13,12
10,14,15,11,12
10,5,8,11,12
10,8,7,9,12
10,5,8,9,12
10,11,8,9,12
10,5,2,7,9,12
10,14,20,15,22,12
10,18,20,15,22,12
10,18,14,15,22,12
10,11,15,17,22,12
10,14,15,17,22,12
10,11,15,21,22,12
10,14,20,21,22,12
10,18,20,21,22,12
10,14,15,21,22,12
10,8,11,15,22,12
10,14,20,15,21,12
10,18,20,15,21,12
10,18,14,15,21,12
10,11,15,17,21,12
10,14,15,17,21,12
10,18,14,20,21,12
10,14,18,20,21,12
10,14,15,20,21,12
10,11,15,20,21,12
10,11,15,22,21,12
10,14,15,22,21,12
10,8,11,15,21,12
10,8,11,15,17,12
10,14,20,15,17,12
10,18,20,15,17,12
10,18,14,15,17,12
10,11,15,21,17,12
10,14,20,21,17,12
10,18,20,21,17,12
10,14,15,21,17,12
10,11,15,22,17,12
10,14,15,22,17,12
10,8,9,13,17,12
10,18,20,14,15,12
10,18,14,20,15,12
10,14,18,20,15,12
10,14,20,21,15,12
10,18,20,21,15,12
10,5,8,11,15,12
10,11,8,9,13,12
10,5,8,9,13,12
10,8,7,9,13,12
10,11,15,17,13,12
10,14,15,17,13,12
10,5,7,9,13,12
10,5,7,8,11,12
10,5,3,8,11,12
10,14,20,15,11,12
10,18,20,15,11,12
10,18,14,15,11,12
10,5,2,8,11,12
10,11,8,7,9,12
10,5,8,7,9,12
10,8,5,7,9,12
10,8,3,7,9,12
10,5,3,7,9,12
10,8,2,7,9,12
10,5,2,8,9,12
10,5,7,8,9,12
10,5,3,8,9,12
