10,5,2
10,8,2
10,5,1,2
10,11,8,2
10,5,8,2
10,8,7,2
10,5,7,2
10,8,5,2
10,8,3,2
10,5,3,2
10,5,0,1,2
10,5,7,8,2
10,5,3,8,2
10,8,3,7,2
10,8,5,7,2
10,5,8,7,2
10,11,8,7,2
10,8,9,7,2
10,5,3,7,2
10,8,7,5,2
10,11,8,5,2
10,8,3,5,2
10,8,3,4,2
10,5,7,4,2
10,8,7,4,2
10,5,3,4,2
10,5,7,3,2
10,8,7,3,2
10,5,8,3,2
10,11,8,3,2
10,8,5,3,2
10,8,5,1,2
10,8,5,0,1,2
10,5,3,7,8,2
10,5,7,9,8,2
10,11,12,9,8,2
10,14,15,11,8,2
10,5,7,3,8,2
10,11,8,3,7,2
10,5,8,3,7,2
10,5,3,4,7,2
10,8,3,4,7,2
10,8,3,5,7,2
10,11,8,5,7,2
10,5,3,8,7,2
10,11,12,9,7,2
10,11,8,9,7,2
10,5,8,9,7,2
10,8,5,3,7,2
10,8,7,3,5,2
10,8,9,7,5,2
10,11,8,7,5,2
10,8,3,7,5,2
10,11,8,3,5,2
10,11,8,3,4,2
10,5,8,3,4,2
10,8,7,3,4,2
10,5,7,3,4,2
10,5,3,7,4,2
10,8,9,7,4,2
10,11,8,7,4,2
10,5,8,7,4,2
10,8,5,7,4,2
10,8,3,7,4,2
10,8,5,3,4,2
10,5,7,4,3,2
10,11,8,5,3,2
10,8,7,5,3,2
10,8,9,7,3,2
10,11,8,7,3,2
10,5,8,7,3,2
10,8,5,7,3,2
10,5,7,8,3,2
10,8,7,4,3,2
10,8,3,5,1,2
10,11,8,5,1,2
10,8,7,5,1,2
