10,18,20
10,14,20
10,18,14,20
10,14,18,20
10,14,15,20
10,11,15,20
10,11,15,14,20
10,11,15,21,20
10,14,15,21,20
10,11,12,21,20
10,11,12,15,20
10,18,14,15,20
10,8,11,15,20
10,8,11,15,14,20
10,14,15,12,21,20
10,11,15,12,21,20
10,8,11,12,21,20
10,8,11,15,21,20
10,18,14,15,21,20
10,11,12,15,21,20
10,11,12,17,21,20
10,14,15,17,21,20
10,11,15,17,21,20
10,11,12,22,21,20
10,14,15,22,21,20
10,11,15,22,21,20
10,8,9,12,21,20
10,11,15,14,18,20
10,8,9,12,15,20
10,8,11,12,15,20
10,11,12,17,15,20
10,11,12,21,15,20
10,11,12,22,15,20
10,5,8,11,15,20
10,11,12,15,14,20
