11,12,13
11,8,9,13
11,12,17,13
11,15,17,13
11,15,12,13
11,12,9,13
11,8,7,9,13
11,12,15,17,13
11,15,21,17,13
11,12,21,17,13
11,15,22,17,13
11,12,22,17,13
11,15,12,17,13
11,15,17,12,13
11,15,21,12,13
11,15,22,12,13
11,8,9,12,13
11,10,8,9,13
11,15,12,9,13
11,8,2,7,9,13
11,15,22,12,17,13
11,15,21,12,17,13
11,10,14,15,17,13
11,12,22,15,17,13
11,12,21,15,17,13
11,15,12,21,17,13
11,12,22,21,17,13
11,15,22,21,17,13
11,15,20,21,17,13
11,12,15,21,17,13
11,15,12,22,17,13
11,12,21,22,17,13
11,15,21,22,17,13
11,12,15,22,17,13
11,12,22,23,17,13
11,15,22,23,17,13
11,8,9,12,17,13
11,10,8,9,12,13
11,10,14,15,12,13
11,15,22,17,12,13
11,15,21,17,12,13
11,15,22,21,12,13
11,15,20,21,12,13
11,15,17,21,12,13
11,15,21,22,12,13
11,15,17,22,12,13
11,8,7,9,12,13
11,10,8,7,9,13
11,10,5,7,9,13
11,8,5,7,9,13
11,8,3,7,9,13
11,10,5,8,9,13
11,15,22,12,9,13
11,15,21,12,9,13
11,15,17,12,9,13
