11,15,14
11,10,14
11,8,10,14
11,15,20,14
11,10,18,14
11,12,15,14
11,8,5,10,14
11,10,18,20,14
11,15,21,20,14
11,12,21,20,14
11,12,15,20,14
11,15,20,18,14
11,8,10,18,14
11,12,21,15,14
11,12,22,15,14
11,12,17,15,14
11,8,2,5,10,14
11,12,22,15,20,14
11,12,21,15,20,14
11,8,10,18,20,14
11,15,12,21,20,14
11,12,22,21,20,14
11,15,22,21,20,14
11,12,17,21,20,14
11,15,17,21,20,14
11,12,15,21,20,14
11,12,17,15,20,14
11,12,15,20,18,14
11,12,21,20,18,14
11,15,21,20,18,14
11,8,5,10,18,14
11,12,22,17,15,14
11,12,21,17,15,14
11,12,13,17,15,14
11,12,21,20,15,14
11,10,18,20,15,14
11,12,22,21,15,14
11,12,17,21,15,14
11,12,21,22,15,14
11,12,17,22,15,14
11,8,9,12,15,14
11,8,7,5,10,14
11,8,3,5,10,14
11,12,9,8,10,14
11,15,20,18,10,14
