11,15,22
11,12,22
11,15,12,22
11,12,21,22
11,15,21,22
11,12,17,22
11,15,17,22
11,12,15,22
11,8,9,12,22
11,12,17,23,22
11,15,17,23,22
11,12,15,21,22
11,15,17,21,22
11,12,17,21,22
11,15,20,21,22
11,15,12,21,22
11,12,13,17,22
11,12,15,17,22
11,15,21,17,22
11,12,21,17,22
11,15,12,17,22
11,12,17,15,22
11,12,21,15,22
11,10,14,15,22
11,15,17,12,22
11,15,21,12,22
11,8,7,9,12,22
11,12,21,17,23,22
11,15,21,17,23,22
11,12,15,17,23,22
11,12,13,17,23,22
11,15,12,17,23,22
11,15,17,12,21,22
11,10,14,15,21,22
11,12,17,15,21,22
11,15,12,17,21,22
11,12,15,17,21,22
11,12,13,17,21,22
11,15,14,20,21,22
11,10,18,20,21,22
11,12,15,20,21,22
11,10,14,20,21,22
11,8,9,12,21,22
11,15,21,12,17,22
11,8,9,13,17,22
11,15,12,13,17,22
11,12,9,13,17,22
11,10,14,15,17,22
11,12,21,15,17,22
11,15,12,21,17,22
11,15,20,21,17,22
11,12,15,21,17,22
11,8,9,12,17,22
11,8,10,14,15,22
11,10,18,14,15,22
11,12,21,17,15,22
11,12,13,17,15,22
11,12,21,20,15,22
11,10,18,20,15,22
11,10,14,20,15,22
11,12,17,21,15,22
11,8,9,12,15,22
11,10,8,9,12,22
11,8,9,13,12,22
11,15,17,13,12,22
11,10,14,15,12,22
11,15,21,17,12,22
11,15,20,21,12,22
11,15,17,21,12,22
