11,8,5
11,10,5
11,8,2,5
11,8,10,5
11,10,8,5
11,8,7,5
11,8,3,5
11,8,2,1,5
11,15,14,10,5
11,12,9,8,5
11,8,3,7,5
11,10,8,7,5
11,8,9,7,5
11,12,9,7,5
11,8,2,7,5
11,8,7,3,5
11,10,8,3,5
11,8,2,3,5
11,8,7,2,5
11,10,8,2,5
11,8,3,2,5
11,8,2,1,0,5
11,15,20,14,10,5
11,12,15,14,10,5
11,15,20,18,10,5
11,15,14,18,10,5
11,12,9,8,10,5
11,12,13,9,8,5
11,15,12,9,8,5
11,15,14,10,8,5
11,12,9,7,8,5
11,10,8,2,7,5
11,8,2,3,7,5
11,10,8,3,7,5
11,8,2,4,7,5
11,8,3,4,7,5
11,12,9,8,7,5
11,12,13,9,7,5
11,15,12,9,7,5
11,10,8,9,7,5
11,8,3,2,7,5
11,8,7,2,3,5
11,8,2,4,3,5
11,8,7,4,3,5
11,8,2,7,3,5
11,12,9,7,3,5
11,8,9,7,3,5
11,10,8,7,3,5
11,12,9,8,3,5
11,10,8,2,3,5
11,8,7,3,2,5
11,8,7,4,2,5
11,8,3,4,2,5
11,12,9,7,2,5
11,8,9,7,2,5
11,10,8,7,2,5
11,8,3,7,2,5
11,12,9,8,2,5
11,10,8,3,2,5
11,10,8,2,1,5
11,8,7,2,1,5
11,8,3,2,1,5
