12,9,8
12,11,8
12,9,7,8
12,15,11,8
12,11,10,8
12,13,9,8
12,9,7,2,8
12,22,15,11,8
12,21,15,11,8
12,17,15,11,8
12,15,14,10,8
12,15,11,10,8
12,17,13,9,8
12,13,9,7,8
12,11,10,5,8
12,9,7,5,8
12,9,7,3,8
12,9,7,3,2,8
12,13,17,15,11,8
12,17,22,15,11,8
12,21,22,15,11,8
12,17,21,15,11,8
12,22,21,15,11,8
12,21,20,15,11,8
12,21,17,15,11,8
12,22,17,15,11,8
12,15,14,10,11,8
12,17,15,11,10,8
12,21,15,11,10,8
12,22,15,11,10,8
12,21,20,14,10,8
12,15,20,14,10,8
12,21,15,14,10,8
12,22,15,14,10,8
12,11,15,14,10,8
12,17,15,14,10,8
12,21,20,18,10,8
12,15,20,18,10,8
12,15,14,18,10,8
12,9,7,5,10,8
12,21,17,13,9,8
12,22,17,13,9,8
12,15,17,13,9,8
12,17,13,9,7,8
12,11,10,5,7,8
12,9,7,3,5,8
12,13,9,7,5,8
12,15,11,10,5,8
12,15,14,10,5,8
12,9,7,2,5,8
12,9,7,4,3,8
12,9,7,5,3,8
12,11,10,5,3,8
12,13,9,7,3,8
12,9,7,2,3,8
12,9,7,4,2,8
12,9,7,5,2,8
12,11,10,5,2,8
12,13,9,7,2,8
