13,17,15
13,12,15
13,12,17,15
13,9,12,15
13,17,12,15
13,12,11,15
13,12,22,15
13,17,22,15
13,12,21,15
13,17,21,15
13,9,8,11,15
13,17,21,22,15
13,12,21,22,15
13,17,23,22,15
13,17,12,22,15
13,9,12,22,15
13,12,17,22,15
13,17,22,21,15
13,12,22,21,15
13,17,12,21,15
13,9,12,21,15
13,12,17,21,15
13,12,21,20,15
13,17,21,20,15
13,12,22,17,15
13,9,12,17,15
13,12,21,17,15
13,17,22,12,15
13,17,21,12,15
13,17,12,11,15
13,9,12,11,15
13,9,7,8,11,15
13,12,21,17,22,15
13,9,12,17,22,15
13,12,17,21,22,15
13,9,12,21,22,15
13,17,12,21,22,15
13,12,17,23,22,15
13,17,21,12,22,15
13,9,12,17,21,15
13,12,22,17,21,15
13,12,17,22,21,15
13,9,12,22,21,15
13,17,12,22,21,15
13,17,23,22,21,15
13,17,22,12,21,15
13,9,12,21,20,15
13,17,12,21,20,15
13,12,22,21,20,15
13,17,22,21,20,15
13,12,17,21,20,15
13,12,22,21,17,15
13,9,12,22,17,15
13,12,21,22,17,15
13,12,22,23,17,15
13,9,12,21,17,15
13,12,11,10,14,15
13,17,21,20,14,15
13,12,21,20,14,15
13,9,8,10,14,15
13,17,22,21,12,15
13,17,23,22,12,15
13,17,21,22,12,15
13,9,8,11,12,15
13,12,9,8,11,15
13,9,8,10,11,15
13,17,21,12,11,15
13,17,22,12,11,15
