13,17,23
13,12,17,23
13,12,22,23
13,17,22,23
13,12,15,17,23
13,12,15,22,23
13,12,17,22,23
13,17,21,22,23
13,12,21,22,23
13,17,12,22,23
13,9,12,22,23
13,17,15,22,23
13,12,21,17,23
13,12,22,17,23
13,9,12,17,23
13,9,12,15,17,23
13,17,21,12,22,23
13,12,17,15,22,23
13,9,12,15,22,23
13,17,12,15,22,23
13,12,11,15,22,23
13,12,21,15,22,23
13,17,21,15,22,23
13,12,15,17,22,23
13,9,12,17,22,23
13,12,21,17,22,23
13,17,15,21,22,23
13,9,12,21,22,23
13,17,12,21,22,23
13,12,17,21,22,23
13,12,15,21,22,23
13,17,15,12,22,23
13,12,11,15,17,23
13,12,22,15,17,23
13,12,21,15,17,23
13,9,12,21,17,23
13,12,22,21,17,23
13,12,15,21,17,23
13,9,12,22,17,23
13,12,21,22,17,23
13,12,15,22,17,23
