13,9,8
13,9,7,8
13,12,11,8
13,12,9,8
13,9,7,2,8
13,12,15,11,8
13,17,12,11,8
13,9,12,11,8
13,17,15,11,8
13,12,11,10,8
13,17,12,9,8
13,12,9,7,8
13,9,7,5,8
13,9,7,3,8
13,9,7,3,2,8
13,17,22,12,11,8
13,17,21,12,11,8
13,12,17,15,11,8
13,9,12,15,11,8
13,17,12,15,11,8
13,12,22,15,11,8
13,17,22,15,11,8
13,12,21,15,11,8
13,17,21,15,11,8
13,17,15,12,11,8
13,17,15,11,10,8
13,9,12,11,10,8
13,17,12,11,10,8
13,12,15,11,10,8
13,17,15,14,10,8
13,12,15,14,10,8
13,9,7,5,10,8
13,17,22,12,9,8
13,17,21,12,9,8
13,17,15,12,9,8
13,17,12,9,7,8
13,9,7,3,5,8
13,12,9,7,5,8
13,12,11,10,5,8
13,9,7,2,5,8
13,9,7,4,3,8
13,9,7,5,3,8
13,12,9,7,3,8
13,9,7,2,3,8
13,9,7,4,2,8
13,9,7,5,2,8
13,12,9,7,2,8
