14,10,5
14,10,8,5
14,18,10,5
14,10,8,2,5
14,15,11,10,5
14,20,18,10,5
14,15,11,8,5
14,10,11,8,5
14,18,10,8,5
14,10,8,7,5
14,10,8,3,5
14,10,8,2,1,5
14,20,15,11,10,5
14,15,12,11,10,5
14,15,20,18,10,5
14,15,11,8,10,5
14,20,18,10,8,5
14,15,11,10,8,5
14,20,15,11,8,5
14,15,12,11,8,5
14,18,10,11,8,5
14,15,12,9,8,5
14,10,8,3,7,5
14,18,10,8,7,5
14,10,11,8,7,5
14,15,11,8,7,5
14,10,8,9,7,5
14,15,12,9,7,5
14,10,8,2,7,5
14,10,8,7,3,5
14,18,10,8,3,5
14,10,11,8,3,5
14,15,11,8,3,5
14,10,8,2,3,5
14,10,8,7,2,5
14,18,10,8,2,5
14,10,11,8,2,5
14,15,11,8,2,5
14,10,8,3,2,5
