14,10,8
14,10,5,8
14,10,11,8
14,15,11,8
14,18,10,8
14,10,5,2,8
14,18,10,11,8
14,15,12,11,8
14,20,15,11,8
14,15,11,10,8
14,20,18,10,8
14,15,12,9,8
14,10,5,7,8
14,18,10,5,8
14,10,5,3,8
14,10,5,1,2,8
14,20,15,12,11,8
14,15,22,12,11,8
14,20,21,12,11,8
14,15,21,12,11,8
14,15,17,12,11,8
14,18,20,15,11,8
14,20,21,15,11,8
14,20,18,10,11,8
14,15,12,11,10,8
14,15,20,18,10,8
14,20,15,11,10,8
14,20,15,12,9,8
14,10,11,12,9,8
14,15,11,12,9,8
14,15,22,12,9,8
14,20,21,12,9,8
14,15,21,12,9,8
14,15,17,12,9,8
14,15,17,13,9,8
14,15,12,13,9,8
14,10,5,7,9,8
14,10,5,3,7,8
14,18,10,5,7,8
14,15,12,9,7,8
14,10,5,2,7,8
14,15,11,10,5,8
14,20,18,10,5,8
14,18,10,5,3,8
14,10,5,7,3,8
14,10,5,2,3,8
14,10,5,3,2,8
14,18,10,5,2,8
14,10,5,7,2,8
