15,11,8,2,1
15,11,10,5,1
15,14,10,5,1
15,11,8,5,1
15,11,8,5,0,1
15,11,8,3,5,1
15,11,8,7,5,1
15,12,9,7,5,1
15,12,9,8,5,1
15,12,11,8,5,1
15,14,10,8,5,1
15,11,10,8,5,1
15,11,8,10,5,1
15,14,18,10,5,1
15,20,18,10,5,1
15,20,14,10,5,1
15,12,11,10,5,1
15,11,8,2,5,1
15,11,8,5,2,1
15,14,10,5,2,1
15,11,10,5,2,1
15,11,8,7,2,1
15,12,9,7,2,1
15,12,9,8,2,1
15,12,11,8,2,1
15,14,10,8,2,1
15,11,10,8,2,1
15,11,8,3,2,1
15,11,10,5,0,1
15,14,10,5,0,1
15,11,8,2,5,0,1
15,11,10,8,2,5,1
15,14,10,8,2,5,1
15,12,11,8,2,5,1
15,12,9,8,2,5,1
15,12,9,7,2,5,1
15,11,8,7,2,5,1
15,11,8,2,3,5,1
15,11,10,8,3,5,1
15,14,10,8,3,5,1
15,12,11,8,3,5,1
15,12,9,8,3,5,1
15,12,9,7,3,5,1
15,11,8,7,3,5,1
15,11,8,2,7,5,1
15,17,12,9,7,5,1
15,11,12,9,7,5,1
15,22,12,9,7,5,1
15,21,12,9,7,5,1
15,17,13,9,7,5,1
15,12,13,9,7,5,1
15,11,8,9,7,5,1
15,11,10,8,7,5,1
15,14,10,8,7,5,1
15,12,11,8,7,5,1
15,12,9,8,7,5,1
15,11,8,3,7,5,1
15,17,12,11,8,5,1
15,22,12,11,8,5,1
15,21,12,11,8,5,1
15,14,10,11,8,5,1
15,12,11,10,8,5,1
15,20,14,10,8,5,1
15,20,18,10,8,5,1
15,14,18,10,8,5,1
15,17,12,9,8,5,1
15,11,12,9,8,5,1
15,22,12,9,8,5,1
15,21,12,9,8,5,1
15,17,13,9,8,5,1
15,12,13,9,8,5,1
15,12,9,7,8,5,1
15,20,14,18,10,5,1
15,21,20,18,10,5,1
15,14,20,18,10,5,1
15,20,18,14,10,5,1
15,21,20,14,10,5,1
15,17,12,11,10,5,1
15,22,12,11,10,5,1
15,21,12,11,10,5,1
15,12,11,8,10,5,1
15,12,9,8,10,5,1
15,11,8,3,2,5,1
15,14,10,8,3,2,1
15,12,11,8,3,2,1
15,12,9,8,3,2,1
15,12,9,7,3,2,1
15,11,8,7,3,2,1
15,11,10,5,3,2,1
15,14,10,5,3,2,1
15,11,8,5,3,2,1
15,12,9,7,4,2,1
15,11,8,7,4,2,1
15,11,8,3,4,2,1
15,12,11,10,5,2,1
15,20,14,10,5,2,1
15,20,18,10,5,2,1
15,14,18,10,5,2,1
15,11,8,10,5,2,1
15,11,10,8,5,2,1
15,14,10,8,5,2,1
15,12,11,8,5,2,1
15,12,9,8,5,2,1
15,12,9,7,5,2,1
15,11,8,7,5,2,1
15,11,8,3,5,2,1
15,17,12,9,7,2,1
15,11,12,9,7,2,1
15,22,12,9,7,2,1
15,21,12,9,7,2,1
15,17,13,9,7,2,1
15,12,13,9,7,2,1
15,11,8,9,7,2,1
15,11,10,8,7,2,1
15,14,10,8,7,2,1
15,12,11,8,7,2,1
15,12,9,8,7,2,1
15,11,10,5,7,2,1
15,14,10,5,7,2,1
15,11,8,5,7,2,1
15,11,8,3,7,2,1
15,14,10,5,8,2,1
15,17,12,11,8,2,1
15,22,12,11,8,2,1
15,21,12,11,8,2,1
15,14,10,11,8,2,1
15,12,11,10,8,2,1
15,20,14,10,8,2,1
15,20,18,10,8,2,1
15,14,18,10,8,2,1
15,17,12,9,8,2,1
15,11,12,9,8,2,1
15,22,12,9,8,2,1
15,21,12,9,8,2,1
15,17,13,9,8,2,1
15,12,13,9,8,2,1
15,12,9,7,8,2,1
15,11,10,5,8,2,1
15,11,10,8,3,2,1
15,12,11,10,5,0,1
15,20,14,10,5,0,1
15,20,18,10,5,0,1
15,14,18,10,5,0,1
15,11,8,10,5,0,1
15,11,10,8,5,0,1
15,14,10,8,5,0,1
15,12,11,8,5,0,1
15,12,9,8,5,0,1
15,12,9,7,5,0,1
15,11,8,7,5,0,1
15,11,8,3,5,0,1
15,11,8,3,2,5,0,1
15,12,9,7,8,2,5,1
15,12,13,9,8,2,5,1
15,17,13,9,8,2,5,1
15,21,12,9,8,2,5,1
15,22,12,9,8,2,5,1
15,11,12,9,8,2,5,1
15,17,12,9,8,2,5,1
15,14,18,10,8,2,5,1
