15,11,10
15,14,10
15,11,8,10
15,14,18,10
15,20,18,10
15,20,14,10
15,12,11,10
15,11,8,5,10
15,21,20,18,10
15,14,20,18,10
15,20,14,18,10
15,21,20,14,10
15,20,18,14,10
15,22,12,11,10
15,21,12,11,10
15,17,12,11,10
15,12,11,8,10
15,12,9,8,10
15,11,8,2,5,10
15,22,21,20,18,10
15,12,21,20,18,10
15,17,21,20,18,10
15,21,20,14,18,10
15,22,21,20,14,10
15,12,21,20,14,10
15,17,21,20,14,10
15,21,20,18,14,10
15,17,13,12,11,10
15,21,22,12,11,10
15,17,22,12,11,10
15,20,21,12,11,10
15,22,21,12,11,10
15,17,21,12,11,10
15,22,17,12,11,10
15,21,17,12,11,10
15,12,9,8,11,10
15,12,13,9,8,10
15,17,13,9,8,10
15,21,12,9,8,10
15,22,12,9,8,10
15,11,12,9,8,10
15,17,12,9,8,10
15,17,12,11,8,10
15,21,12,11,8,10
15,22,12,11,8,10
15,12,9,7,8,10
15,11,8,3,5,10
15,11,8,7,5,10
15,12,9,7,5,10
15,12,9,8,5,10
15,12,11,8,5,10
