15,20,18
15,14,18
15,11,10,18
15,14,20,18
15,21,20,18
15,20,14,18
15,14,10,18
15,11,8,10,18
15,12,21,20,18
15,22,21,20,18
15,17,21,20,18
15,21,20,14,18
15,11,10,14,18
15,12,11,10,18
15,20,14,10,18
15,11,8,5,10,18
15,17,12,21,20,18
15,12,22,21,20,18
15,17,22,21,20,18
15,22,17,21,20,18
15,12,17,21,20,18
15,22,12,21,20,18
15,11,12,21,20,18
15,11,10,14,20,18
15,12,11,10,14,18
15,17,21,20,14,18
15,22,21,20,14,18
15,12,21,20,14,18
15,11,8,10,14,18
15,12,9,8,10,18
15,12,11,8,10,18
15,21,12,11,10,18
15,22,12,11,10,18
15,17,12,11,10,18
15,21,20,14,10,18
