15,12,9
15,11,8,9
15,12,13,9
15,17,13,9
15,21,12,9
15,22,12,9
15,11,12,9
15,17,12,9
15,11,8,7,9
15,11,12,13,9
15,22,12,13,9
15,21,12,13,9
15,21,17,13,9
15,12,17,13,9
15,22,17,13,9
15,17,12,13,9
15,21,17,12,9
15,22,17,12,9
15,17,21,12,9
15,22,21,12,9
15,20,21,12,9
15,17,22,12,9
15,21,22,12,9
15,17,13,12,9
15,14,10,8,9
15,12,11,8,9
15,11,10,8,9
15,11,8,2,7,9
15,17,22,12,13,9
15,20,21,12,13,9
15,22,21,12,13,9
15,17,21,12,13,9
15,22,17,12,13,9
15,21,17,12,13,9
15,11,12,17,13,9
15,22,23,17,13,9
15,21,22,17,13,9
15,12,22,17,13,9
15,20,21,17,13,9
15,22,21,17,13,9
15,12,21,17,13,9
15,21,12,17,13,9
15,22,12,17,13,9
15,21,22,12,13,9
15,22,17,13,12,9
15,21,17,13,12,9
15,22,23,17,12,9
15,21,22,17,12,9
15,20,21,17,12,9
15,22,21,17,12,9
15,17,22,21,12,9
15,14,20,21,12,9
15,22,17,21,12,9
15,17,23,22,12,9
15,20,21,22,12,9
15,17,21,22,12,9
15,21,17,22,12,9
15,14,10,11,12,9
15,11,10,5,8,9
15,14,18,10,8,9
15,20,18,10,8,9
15,20,14,10,8,9
15,12,11,10,8,9
15,14,10,11,8,9
15,21,12,11,8,9
15,22,12,11,8,9
15,17,12,11,8,9
15,14,10,5,8,9
15,11,8,3,7,9
15,11,8,5,7,9
15,14,10,5,7,9
15,11,10,5,7,9
15,11,10,8,7,9
15,12,11,8,7,9
15,14,10,8,7,9
