18,10,5,0
18,10,5,1,0
18,14,10,5,0
18,10,8,5,0
18,10,5,2,1,0
18,10,8,3,5,0
18,10,8,7,5,0
18,10,11,8,5,0
18,14,10,8,5,0
18,20,14,10,5,0
18,10,8,2,5,0
18,10,8,2,1,0
18,10,8,5,1,0
18,14,10,5,1,0
18,10,5,3,2,1,0
18,14,10,8,2,5,0
18,10,11,8,2,5,0
18,10,8,7,2,5,0
18,10,8,3,2,5,0
18,10,8,2,3,5,0
18,14,10,8,3,5,0
18,10,11,8,3,5,0
18,10,8,7,3,5,0
18,10,8,2,7,5,0
18,10,8,9,7,5,0
18,14,10,8,7,5,0
18,10,11,8,7,5,0
18,10,8,3,7,5,0
18,14,15,11,8,5,0
18,14,10,11,8,5,0
18,20,15,11,8,5,0
18,20,14,10,8,5,0
18,20,15,11,10,5,0
18,20,15,14,10,5,0
18,14,15,11,10,5,0
18,10,8,2,1,5,0
18,14,10,8,2,1,0
18,10,11,8,2,1,0
18,10,5,8,2,1,0
18,10,8,7,2,1,0
18,10,5,7,2,1,0
18,14,10,5,2,1,0
18,10,8,5,2,1,0
18,10,8,3,2,1,0
18,10,8,2,5,1,0
18,20,14,10,5,1,0
18,14,10,8,5,1,0
18,10,11,8,5,1,0
18,10,8,7,5,1,0
18,10,8,3,5,1,0
