18,10,5,3
18,10,8,3
18,10,5,2,3
18,14,10,8,3
18,10,11,8,3
18,10,5,8,3
18,10,8,7,3
18,10,5,7,3
18,14,10,5,3
18,10,8,5,3
18,10,8,2,3
18,10,5,1,2,3
18,14,10,5,8,3
18,10,5,7,8,3
18,20,14,10,8,3
18,20,15,11,8,3
18,14,10,11,8,3
18,14,15,11,8,3
18,10,5,2,8,3
18,10,8,2,7,3
18,10,8,5,7,3
18,14,10,5,7,3
18,10,5,8,7,3
18,10,11,8,7,3
18,14,10,8,7,3
18,10,8,9,7,3
18,10,5,2,7,3
18,10,8,7,5,3
18,10,11,8,5,3
18,14,10,8,5,3
18,20,14,10,5,3
18,10,8,2,5,3
18,10,8,2,4,3
18,10,5,7,4,3
18,10,8,7,4,3
18,10,5,2,4,3
18,10,8,5,2,3
18,14,10,5,2,3
18,10,5,7,2,3
18,10,8,7,2,3
18,10,5,8,2,3
18,10,11,8,2,3
18,14,10,8,2,3
18,10,5,0,1,2,3
18,10,5,7,2,8,3
18,14,10,5,2,8,3
18,20,14,10,5,8,3
18,10,5,2,7,8,3
18,14,10,5,7,8,3
18,10,5,7,9,8,3
18,14,15,12,9,8,3
18,20,21,12,9,8,3
18,10,11,12,9,8,3
18,20,15,12,9,8,3
18,20,15,11,10,8,3
18,20,15,14,10,8,3
18,14,15,11,10,8,3
18,20,21,15,11,8,3
18,20,14,15,11,8,3
18,10,14,15,11,8,3
18,14,20,15,11,8,3
18,14,15,12,11,8,3
18,20,21,12,11,8,3
18,20,15,12,11,8,3
18,20,14,10,11,8,3
18,10,5,1,2,8,3
18,14,10,8,2,7,3
18,10,11,8,2,7,3
18,10,5,8,2,7,3
18,14,10,5,2,7,3
18,10,8,5,2,7,3
18,10,5,2,4,7,3
18,10,8,2,4,7,3
18,10,8,2,5,7,3
18,20,14,10,5,7,3
18,14,10,8,5,7,3
18,10,11,8,5,7,3
18,10,5,2,8,7,3
18,14,15,11,8,7,3
18,14,10,11,8,7,3
18,20,15,11,8,7,3
18,20,14,10,8,7,3
18,14,10,5,8,7,3
18,14,15,12,9,7,3
18,20,21,12,9,7,3
18,10,11,12,9,7,3
18,20,15,12,9,7,3
18,14,10,8,9,7,3
18,10,11,8,9,7,3
18,10,5,8,9,7,3
18,10,5,1,2,7,3
18,14,10,8,2,5,3
18,10,11,8,2,5,3
18,10,8,7,2,5,3
18,10,8,9,7,5,3
18,14,10,8,7,5,3
18,10,11,8,7,5,3
18,10,8,2,7,5,3
18,14,15,11,8,5,3
18,14,10,11,8,5,3
18,20,15,11,8,5,3
18,20,14,10,8,5,3
18,20,15,11,10,5,3
18,20,15,14,10,5,3
18,14,15,11,10,5,3
18,10,8,2,1,5,3
18,14,10,8,2,4,3
18,10,11,8,2,4,3
18,10,5,8,2,4,3
18,10,8,7,2,4,3
18,10,5,7,2,4,3
18,14,10,5,2,4,3
18,10,8,5,2,4,3
18,10,5,2,7,4,3
18,10,8,9,7,4,3
18,14,10,8,7,4,3
18,10,11,8,7,4,3
18,10,5,8,7,4,3
18,14,10,5,7,4,3
18,10,8,5,7,4,3
18,10,8,2,7,4,3
18,10,5,1,2,4,3
18,14,10,5,1,2,3
18,10,8,5,1,2,3
18,10,8,7,4,2,3
18,10,5,7,4,2,3
18,20,14,10,5,2,3
18,14,10,8,5,2,3
18,10,11,8,5,2,3
18,10,8,7,5,2,3
18,10,8,9,7,2,3
18,14,10,8,7,2,3
18,10,11,8,7,2,3
18,10,5,8,7,2,3
18,14,10,5,7,2,3
18,10,8,5,7,2,3
18,14,15,11,8,2,3
18,14,10,11,8,2,3
18,20,15,11,8,2,3
18,20,14,10,8,2,3
18,10,5,7,8,2,3
18,14,10,5,8,2,3
