20,15,11
20,21,15,11
20,21,12,11
20,15,12,11
20,14,10,11
20,18,10,11
20,14,15,11
20,18,10,8,11
20,21,22,15,11
20,21,12,15,11
20,18,14,15,11
20,21,17,15,11
20,14,15,12,11
20,15,17,12,11
20,21,17,12,11
20,15,21,12,11
20,15,22,12,11
20,21,22,12,11
20,21,15,12,11
20,15,14,10,11
20,18,14,10,11
20,14,18,10,11
20,14,10,8,11
20,18,10,5,8,11
20,21,17,12,15,11
20,18,10,14,15,11
20,21,12,17,15,11
20,21,22,17,15,11
20,21,12,22,15,11
20,21,17,22,15,11
20,21,22,12,15,11
20,21,17,13,12,11
20,21,17,15,12,11
20,18,14,15,12,11
20,21,22,15,12,11
20,21,15,17,12,11
20,21,22,17,12,11
20,15,22,17,12,11
20,15,21,17,12,11
20,14,15,17,12,11
20,14,15,21,12,11
20,15,22,21,12,11
20,15,17,21,12,11
20,21,15,22,12,11
20,15,21,22,12,11
20,21,17,22,12,11
20,15,17,22,12,11
20,14,15,22,12,11
20,15,17,13,12,11
20,15,14,18,10,11
20,21,15,14,10,11
20,14,10,5,8,11
20,15,12,9,8,11
20,21,12,9,8,11
20,14,18,10,8,11
20,18,14,10,8,11
20,15,14,10,8,11
