21,20,18
21,15,20,18
21,20,14,18
21,15,14,18
21,15,11,10,18
21,12,15,20,18
21,22,15,20,18
21,15,14,20,18
21,17,15,20,18
21,12,15,14,18
21,22,15,14,18
21,20,15,14,18
21,15,20,14,18
21,17,15,14,18
21,12,11,10,18
21,15,14,10,18
21,20,14,10,18
21,12,9,8,10,18
21,22,15,14,20,18
21,12,15,14,20,18
21,12,17,15,20,18
21,17,12,15,20,18
21,22,12,15,20,18
21,12,11,15,20,18
21,17,22,15,20,18
21,12,22,15,20,18
21,22,17,15,20,18
21,17,15,14,20,18
21,12,11,10,14,18
21,12,17,15,14,18
21,17,12,15,14,18
21,22,12,15,14,18
21,12,11,15,14,18
21,17,22,15,14,18
21,12,22,15,14,18
21,22,17,15,14,18
21,17,15,20,14,18
21,22,15,20,14,18
21,12,15,20,14,18
21,15,11,10,14,18
21,12,11,8,10,18
21,15,11,8,10,18
21,17,15,11,10,18
21,17,12,11,10,18
21,22,12,11,10,18
21,15,12,11,10,18
21,20,15,11,10,18
21,22,15,11,10,18
21,12,15,11,10,18
21,17,15,14,10,18
21,15,20,14,10,18
21,20,15,14,10,18
21,22,15,14,10,18
21,12,15,14,10,18
