21,17,23
21,22,23
21,15,17,23
21,17,22,23
21,12,22,23
21,15,22,23
21,22,17,23
21,12,17,23
21,12,15,17,23
21,12,15,22,23
21,20,15,22,23
21,15,17,22,23
21,12,17,22,23
21,15,12,22,23
21,17,12,22,23
21,17,15,22,23
21,22,15,17,23
21,20,15,17,23
21,15,22,17,23
21,12,22,17,23
21,15,12,17,23
21,22,12,17,23
21,12,13,17,23
21,15,11,12,17,23
21,17,13,12,22,23
21,15,11,12,22,23
21,15,17,12,22,23
21,20,15,12,22,23
21,12,17,15,22,23
21,20,14,15,22,23
21,17,12,15,22,23
21,12,11,15,22,23
21,12,15,17,22,23
21,12,13,17,22,23
21,15,12,17,22,23
21,20,15,17,22,23
21,17,15,12,22,23
21,15,22,12,17,23
21,20,15,12,17,23
21,22,15,12,17,23
21,22,12,13,17,23
21,15,12,13,17,23
21,12,9,13,17,23
21,20,14,15,17,23
21,22,12,15,17,23
21,12,11,15,17,23
21,12,22,15,17,23
21,15,12,22,17,23
21,20,15,22,17,23
21,12,15,22,17,23
