22,17,13
22,12,13
22,15,17,13
22,17,12,13
22,21,12,13
22,15,12,13
22,12,9,13
22,21,17,13
22,23,17,13
22,12,17,13
22,15,12,9,13
22,21,15,17,13
22,15,21,17,13
22,12,21,17,13
22,15,12,17,13
22,21,12,17,13
22,12,15,17,13
22,21,15,12,13
22,15,17,12,13
22,23,17,12,13
22,21,17,12,13
22,15,21,12,13
22,17,21,12,13
22,15,11,12,13
22,17,15,12,13
22,21,12,9,13
22,17,12,9,13
22,12,11,8,9,13
22,15,21,12,17,13
22,21,15,12,17,13
22,21,12,15,17,13
22,12,11,15,17,13
22,12,21,15,17,13
22,21,20,15,17,13
22,15,12,21,17,13
22,15,20,21,17,13
22,12,15,21,17,13
22,15,11,12,17,13
22,21,15,11,12,13
22,17,21,15,12,13
22,21,20,15,12,13
22,21,17,15,12,13
22,23,17,15,12,13
22,15,21,17,12,13
22,21,15,17,12,13
22,17,15,21,12,13
22,15,20,21,12,13
22,23,17,21,12,13
22,15,17,21,12,13
22,17,15,11,12,13
22,15,11,8,9,13
22,17,15,12,9,13
22,15,11,12,9,13
22,17,21,12,9,13
22,15,21,12,9,13
22,21,17,12,9,13
22,23,17,12,9,13
22,15,17,12,9,13
22,21,15,12,9,13
