23,17,15
23,22,15
23,22,17,15
23,22,12,15
23,17,12,15
23,17,22,15
23,22,21,15
23,17,21,15
23,22,21,17,15
23,17,21,12,15
23,22,21,12,15
23,17,22,12,15
23,17,13,12,15
23,22,17,12,15
23,22,12,11,15
23,17,12,11,15
23,17,12,22,15
23,17,21,22,15
23,17,22,21,15
23,17,12,21,15
23,22,12,21,15
23,22,17,21,15
23,22,21,20,15
23,17,21,20,15
23,22,12,17,15
23,22,17,12,11,15
23,17,13,12,22,15
23,17,21,12,22,15
23,17,12,21,22,15
23,17,12,22,21,15
23,22,17,12,21,15
23,17,13,12,21,15
23,17,22,12,21,15
23,22,12,17,21,15
23,22,12,21,20,15
23,17,12,21,20,15
23,17,22,21,20,15
23,22,17,21,20,15
23,22,21,12,17,15
23,22,12,13,17,15
23,22,12,21,17,15
23,22,21,20,14,15
23,17,21,20,14,15
23,22,17,21,12,15
23,17,22,21,12,15
23,17,21,22,12,15
23,17,13,9,12,15
23,22,17,13,12,15
23,22,21,17,12,15
23,17,13,12,11,15
23,17,22,12,11,15
23,22,21,12,11,15
23,17,21,12,11,15
