3,7,9,13
3,8,9,13
3,2,7,9,13
3,8,9,12,13
3,8,11,12,13
3,7,9,12,13
3,8,7,9,13
3,5,7,9,13
3,4,7,9,13
3,2,8,9,13
3,7,8,9,13
3,5,8,9,13
3,4,2,7,9,13
3,8,9,12,17,13
3,8,11,12,17,13
3,8,11,15,17,13
3,7,9,12,17,13
3,5,8,9,12,13
3,7,8,9,12,13
3,2,8,9,12,13
3,4,7,9,12,13
3,5,7,9,12,13
3,8,7,9,12,13
3,2,8,11,12,13
3,8,10,11,12,13
3,5,10,11,12,13
3,5,8,11,12,13
3,7,8,11,12,13
3,8,11,15,12,13
3,2,7,9,12,13
3,5,8,7,9,13
3,2,8,7,9,13
3,8,5,7,9,13
3,2,5,7,9,13
3,2,4,7,9,13
3,5,2,7,9,13
3,8,2,7,9,13
3,4,2,8,9,13
3,5,10,8,9,13
3,4,7,8,9,13
3,5,7,8,9,13
3,2,7,8,9,13
3,7,5,8,9,13
3,2,5,8,9,13
3,5,2,8,9,13
3,7,2,8,9,13
3,8,11,12,9,13
3,5,1,2,7,9,13
3,8,11,15,12,17,13
3,7,8,11,12,17,13
3,5,8,11,12,17,13
3,5,10,11,12,17,13
3,8,10,11,12,17,13
3,2,8,11,12,17,13
3,8,7,9,12,17,13
3,5,7,9,12,17,13
3,4,7,9,12,17,13
3,2,8,9,12,17,13
3,7,8,9,12,17,13
3,5,8,9,12,17,13
3,2,8,11,15,17,13
3,8,10,14,15,17,13
3,5,10,14,15,17,13
3,8,9,12,15,17,13
3,8,11,12,15,17,13
3,7,9,12,15,17,13
3,7,8,11,15,17,13
3,5,8,11,15,17,13
3,5,10,11,15,17,13
3,8,10,11,15,17,13
3,7,9,12,21,17,13
3,8,11,15,21,17,13
3,8,11,12,21,17,13
3,8,9,12,21,17,13
3,7,9,12,22,17,13
3,8,11,15,22,17,13
3,8,11,12,22,17,13
3,8,9,12,22,17,13
3,2,7,9,12,17,13
3,7,2,8,9,12,13
3,5,2,8,9,12,13
3,2,5,8,9,12,13
3,7,5,8,9,12,13
3,2,7,8,9,12,13
3,5,7,8,9,12,13
3,4,7,8,9,12,13
3,5,10,8,9,12,13
3,4,2,8,9,12,13
3,8,2,7,9,12,13
3,5,2,7,9,12,13
3,2,4,7,9,12,13
3,2,5,7,9,12,13
3,8,5,7,9,12,13
3,2,8,7,9,12,13
3,5,8,7,9,12,13
3,4,2,8,11,12,13
3,8,5,10,11,12,13
3,7,5,10,11,12,13
3,2,8,10,11,12,13
3,7,8,10,11,12,13
3,5,8,10,11,12,13
3,2,5,10,11,12,13
3,7,2,8,11,12,13
3,5,2,8,11,12,13
3,2,5,8,11,12,13
3,7,5,8,11,12,13
3,2,7,8,11,12,13
3,5,7,8,11,12,13
3,4,7,8,11,12,13
3,7,9,8,11,12,13
3,5,10,8,11,12,13
3,2,8,11,15,12,13
3,8,10,14,15,12,13
3,5,10,14,15,12,13
3,7,8,11,15,12,13
3,5,8,11,15,12,13
3,5,10,11,15,12,13
3,8,10,11,15,12,13
3,8,11,15,17,12,13
3,8,11,15,21,12,13
3,8,11,15,22,12,13
3,4,2,7,9,12,13
3,5,2,8,7,9,13
3,2,5,8,7,9,13
3,5,10,8,7,9,13
3,4,2,8,7,9,13
3,4,2,5,7,9,13
3,8,2,5,7,9,13
3,2,8,5,7,9,13
3,8,10,5,7,9,13
3,2,1,5,7,9,13
3,5,2,4,7,9,13
3,8,2,4,7,9,13
3,8,5,2,7,9,13
3,5,8,2,7,9,13
3,5,1,2,8,9,13
3,5,10,11,8,9,13
3,7,5,10,8,9,13
3,2,5,10,8,9,13
3,5,2,7,8,9,13
3,2,4,7,8,9,13
3,2,5,7,8,9,13
3,4,2,7,8,9,13
3,4,2,5,8,9,13
3,7,2,5,8,9,13
3,2,7,5,8,9,13
3,4,7,5,8,9,13
3,2,1,5,8,9,13
3,7,4,2,8,9,13
3,7,5,2,8,9,13
3,5,7,2,8,9,13
3,4,7,2,8,9,13
3,8,11,15,12,9,13
3,7,8,11,12,9,13
3,5,8,11,12,9,13
3,5,10,11,12,9,13
3,8,10,11,12,9,13
3,2,8,11,12,9,13
