4,2,5
4,7,5
4,3,5
4,2,1,5
4,3,8,5
4,7,8,5
4,2,8,5
4,3,7,5
4,2,7,5
4,7,3,5
4,2,3,5
4,7,2,5
4,3,2,5
4,2,1,0,5
4,3,8,10,5
4,7,8,10,5
4,2,8,10,5
4,7,2,8,5
4,2,3,8,5
4,7,3,8,5
4,2,7,8,5
4,3,7,8,5
4,7,9,8,5
4,3,2,8,5
4,2,3,7,5
4,2,8,7,5
4,3,8,7,5
4,3,2,7,5
4,2,7,3,5
4,2,8,3,5
4,7,8,3,5
4,7,2,3,5
4,3,7,2,5
4,7,8,2,5
4,3,8,2,5
4,7,3,2,5
4,7,2,1,5
4,3,2,1,5
4,3,2,1,0,5
4,7,9,8,10,5
4,3,7,8,10,5
4,2,7,8,10,5
4,7,3,8,10,5
4,2,3,8,10,5
4,7,2,8,10,5
4,2,8,11,10,5
4,7,8,11,10,5
4,3,8,11,10,5
4,3,2,8,10,5
4,3,7,2,8,5
4,7,2,3,8,5
4,2,7,3,8,5
4,3,2,7,8,5
4,2,3,7,8,5
4,2,7,9,8,5
4,3,7,9,8,5
4,7,3,2,8,5
4,2,8,3,7,5
4,3,2,8,7,5
4,2,3,8,7,5
4,3,8,9,7,5
4,2,8,9,7,5
4,3,8,2,7,5
4,2,8,7,3,5
4,7,9,8,3,5
4,2,7,8,3,5
4,7,2,8,3,5
4,7,8,2,3,5
4,3,8,7,2,5
4,7,9,8,2,5
4,3,7,8,2,5
4,7,3,8,2,5
4,7,8,3,2,5
4,3,8,2,1,5
4,7,8,2,1,5
4,3,7,2,1,5
4,7,3,2,1,5
4,7,2,1,0,5
