7,9,12
7,8,9,12
7,9,13,12
7,8,11,12
7,2,8,9,12
7,9,13,17,12
7,8,11,15,12
7,8,9,13,12
7,9,8,11,12
7,5,8,11,12
7,3,8,11,12
7,5,10,11,12
7,8,10,11,12
7,2,8,11,12
7,5,8,9,12
7,3,8,9,12
7,3,2,8,9,12
7,9,13,17,22,12
7,8,11,15,22,12
7,9,13,17,21,12
7,8,11,15,21,12
7,8,11,15,17,12
7,8,9,13,17,12
7,8,10,11,15,12
7,5,10,11,15,12
7,3,8,11,15,12
7,5,8,11,15,12
7,9,8,11,15,12
7,5,10,14,15,12
7,8,10,14,15,12
7,9,13,17,15,12
7,2,8,11,15,12
7,3,8,9,13,12
7,5,8,9,13,12
7,2,8,9,13,12
7,5,10,8,11,12
7,3,5,8,11,12
7,2,5,8,11,12
7,4,3,8,11,12
7,5,3,8,11,12
7,2,3,8,11,12
7,4,2,8,11,12
7,5,2,8,11,12
7,2,5,10,11,12
7,3,8,10,11,12
7,5,8,10,11,12
7,9,8,10,11,12
7,2,8,10,11,12
7,3,5,10,11,12
7,8,5,10,11,12
7,3,2,8,11,12
7,5,10,8,9,12
7,3,5,8,9,12
7,2,5,8,9,12
7,4,3,8,9,12
7,5,3,8,9,12
7,2,3,8,9,12
7,4,2,8,9,12
7,5,2,8,9,12
