8,10,18
8,5,10,18
8,10,14,18
8,11,10,18
8,2,5,10,18
8,11,15,20,18
8,10,14,20,18
8,11,10,14,18
8,11,15,14,18
8,5,10,14,18
8,7,5,10,18
8,3,5,10,18
8,2,1,5,10,18
8,11,15,14,20,18
8,11,10,14,20,18
8,10,11,15,20,18
8,10,14,15,20,18
8,11,12,15,20,18
8,9,12,15,20,18
8,9,12,21,20,18
8,11,15,21,20,18
8,11,12,21,20,18
8,5,10,14,20,18
8,3,5,10,14,18
8,7,5,10,14,18
8,10,11,15,14,18
8,11,12,15,14,18
8,9,12,15,14,18
8,11,15,20,14,18
8,2,5,10,14,18
8,3,7,5,10,18
8,9,7,5,10,18
8,2,7,5,10,18
8,7,3,5,10,18
8,2,3,5,10,18
8,7,2,5,10,18
8,3,2,5,10,18
8,9,12,11,10,18
8,11,15,14,10,18
