8,9,12,17,23
8,11,12,22,23
8,11,15,22,23
8,9,12,22,23
8,11,15,17,23
8,9,13,17,23
8,11,12,17,23
8,7,9,12,17,23
8,11,15,12,22,23
8,9,13,12,22,23
8,10,11,12,22,23
8,10,11,15,22,23
8,10,14,15,22,23
8,11,12,15,22,23
8,9,12,15,22,23
8,9,12,17,22,23
8,11,15,17,22,23
8,9,13,17,22,23
8,11,12,17,22,23
8,9,12,21,22,23
8,11,15,21,22,23
8,11,12,21,22,23
8,7,9,12,22,23
8,11,15,12,17,23
8,9,13,12,17,23
8,10,11,12,17,23
8,7,9,13,17,23
8,11,12,13,17,23
8,9,12,13,17,23
8,10,11,15,17,23
8,10,14,15,17,23
8,11,12,15,17,23
8,9,12,15,17,23
8,9,12,21,17,23
8,11,15,21,17,23
8,11,12,21,17,23
8,9,12,22,17,23
8,11,15,22,17,23
8,11,12,22,17,23
8,2,7,9,12,17,23
8,11,15,21,12,22,23
8,9,13,17,12,22,23
8,11,15,17,12,22,23
8,10,14,15,12,22,23
8,10,11,15,12,22,23
8,7,9,13,12,22,23
8,5,10,11,12,22,23
8,5,7,9,12,22,23
8,3,7,9,12,22,23
8,5,10,11,15,22,23
8,11,12,21,15,22,23
8,9,12,21,15,22,23
8,10,18,20,15,22,23
8,10,14,20,15,22,23
8,11,12,17,15,22,23
8,9,13,17,15,22,23
8,9,12,17,15,22,23
8,11,10,14,15,22,23
8,10,18,14,15,22,23
8,5,10,14,15,22,23
8,10,11,12,15,22,23
8,9,13,12,15,22,23
8,7,9,12,15,22,23
8,9,12,11,15,22,23
8,7,9,12,17,22,23
8,11,12,21,17,22,23
8,11,15,21,17,22,23
8,9,12,21,17,22,23
8,9,12,15,17,22,23
8,11,12,15,17,22,23
8,10,14,15,17,22,23
8,10,11,15,17,22,23
8,9,12,13,17,22,23
8,11,12,13,17,22,23
8,7,9,13,17,22,23
8,10,11,12,17,22,23
8,9,13,12,17,22,23
8,11,15,12,17,22,23
8,7,9,12,21,22,23
8,11,15,20,21,22,23
8,10,18,20,21,22,23
8,10,14,20,21,22,23
8,11,12,17,21,22,23
8,9,13,17,21,22,23
8,11,15,17,21,22,23
8,9,12,17,21,22,23
8,9,12,15,21,22,23
8,11,12,15,21,22,23
8,10,14,15,21,22,23
8,10,11,15,21,22,23
8,10,11,12,21,22,23
8,9,13,12,21,22,23
8,11,15,12,21,22,23
8,2,7,9,12,22,23
8,11,15,22,12,17,23
8,11,15,21,12,17,23
8,10,14,15,12,17,23
8,10,11,15,12,17,23
8,7,9,13,12,17,23
8,5,10,11,12,17,23
8,5,7,9,12,17,23
8,3,7,9,12,17,23
8,2,7,9,13,17,23
8,10,11,12,13,17,23
8,11,15,12,13,17,23
8,7,9,12,13,17,23
8,5,7,9,13,17,23
8,3,7,9,13,17,23
8,11,12,9,13,17,23
8,5,10,11,15,17,23
8,11,12,22,15,17,23
8,9,12,22,15,17,23
8,11,12,21,15,17,23
8,9,12,21,15,17,23
8,10,18,20,15,17,23
8,10,14,20,15,17,23
8,11,10,14,15,17,23
8,10,18,14,15,17,23
8,5,10,14,15,17,23
8,10,11,12,15,17,23
8,9,13,12,15,17,23
8,7,9,12,15,17,23
8,9,12,11,15,17,23
8,7,9,12,21,17,23
8,11,12,22,21,17,23
8,11,15,22,21,17,23
