8,2,4
8,7,4
8,3,4
8,3,2,4
8,3,7,4
8,5,7,4
8,9,7,4
8,2,7,4
8,5,3,4
8,7,3,4
8,2,3,4
8,5,2,4
8,7,2,4
8,5,1,2,4
8,5,2,7,4
8,2,3,7,4
8,5,3,7,4
8,2,5,7,4
8,10,5,7,4
8,3,5,7,4
8,3,2,7,4
8,5,2,3,4
8,2,5,3,4
8,10,5,3,4
8,7,5,3,4
8,2,7,3,4
8,9,7,3,4
8,5,7,3,4
8,7,2,3,4
8,7,3,2,4
8,5,3,2,4
8,10,5,2,4
8,7,5,2,4
8,3,5,2,4
8,9,7,2,4
8,5,7,2,4
8,3,7,2,4
8,5,0,1,2,4
8,3,5,2,7,4
8,10,5,2,7,4
8,5,3,2,7,4
8,10,5,3,7,4
8,2,5,3,7,4
8,5,2,3,7,4
8,2,1,5,7,4
8,11,10,5,7,4
8,2,3,5,7,4
8,3,2,5,7,4
8,11,12,9,7,4
8,5,1,2,7,4
8,5,7,2,3,4
8,9,7,2,3,4
8,7,5,2,3,4
8,10,5,2,3,4
8,2,1,5,3,4
8,11,10,5,3,4
8,9,7,5,3,4
8,2,7,5,3,4
8,7,2,5,3,4
8,10,5,7,3,4
8,2,5,7,3,4
8,5,2,7,3,4
8,5,1,2,3,4
8,3,5,1,2,4
8,7,5,1,2,4
8,10,5,1,2,4
8,5,7,3,2,4
8,9,7,3,2,4
8,7,5,3,2,4
8,10,5,3,2,4
8,11,10,5,2,4
8,3,7,5,2,4
8,9,7,5,2,4
8,7,3,5,2,4
8,3,5,7,2,4
8,10,5,7,2,4
8,5,3,7,2,4
