9,8,11
9,12,11
9,7,8,11
9,12,15,11
9,13,12,11
9,8,10,11
9,7,2,8,11
9,12,17,15,11
9,13,17,15,11
9,12,21,15,11
9,12,22,15,11
9,13,12,15,11
9,13,17,12,11
9,8,5,10,11
9,7,8,10,11
9,7,5,10,11
9,7,3,8,11
9,7,5,8,11
9,7,3,2,8,11
9,8,10,14,15,11
9,13,12,17,15,11
9,12,22,17,15,11
9,12,21,17,15,11
9,12,13,17,15,11
9,12,21,20,15,11
9,13,12,21,15,11
9,12,22,21,15,11
9,13,17,21,15,11
9,12,17,21,15,11
9,13,12,22,15,11
9,12,21,22,15,11
9,13,17,22,15,11
9,12,17,22,15,11
9,13,17,12,15,11
9,13,17,21,12,11
9,13,17,22,12,11
9,13,17,15,12,11
9,7,8,5,10,11
9,8,7,5,10,11
9,8,3,5,10,11
9,7,3,5,10,11
9,8,2,5,10,11
9,7,2,8,10,11
9,7,5,8,10,11
9,7,3,8,10,11
9,12,15,14,10,11
9,7,2,5,10,11
9,7,5,2,8,11
9,7,4,2,8,11
9,7,2,3,8,11
9,7,5,3,8,11
9,7,4,3,8,11
9,7,2,5,8,11
9,7,3,5,8,11
9,7,5,10,8,11
