9,12,17
9,13,17
9,13,12,17
9,12,22,17
9,12,21,17
9,12,15,17
9,12,13,17
9,8,11,12,17
9,12,22,23,17
9,12,15,22,17
9,12,21,22,17
9,13,12,22,17
9,12,15,21,17
9,12,22,21,17
9,13,12,21,17
9,12,11,15,17
9,13,12,15,17
9,12,21,15,17
9,12,22,15,17
9,8,11,15,17
9,7,8,11,12,17
9,12,21,22,23,17
9,12,15,22,23,17
9,13,12,22,23,17
9,8,11,15,22,17
9,12,21,15,22,17
9,13,12,15,22,17
9,12,11,15,22,17
9,13,12,21,22,17
9,12,15,21,22,17
9,8,11,12,22,17
9,8,11,15,21,17
9,12,22,15,21,17
9,13,12,15,21,17
9,12,11,15,21,17
9,12,15,20,21,17
9,13,12,22,21,17
9,12,15,22,21,17
9,8,11,12,21,17
9,13,12,11,15,17
9,8,10,11,15,17
9,8,11,12,15,17
9,8,10,14,15,17
9,12,21,20,15,17
9,13,12,21,15,17
9,12,22,21,15,17
9,13,12,22,15,17
9,12,21,22,15,17
9,7,8,11,15,17
9,8,11,12,13,17
9,8,10,11,12,17
9,8,11,15,12,17
