9,7,2
9,8,2
9,7,3,2
9,7,8,2
9,8,7,2
9,8,5,2
9,7,5,2
9,7,4,2
9,8,3,2
9,7,5,1,2
9,7,5,8,2
9,12,11,8,2
9,7,3,8,2
9,8,5,7,2
9,8,3,7,2
9,8,3,5,2
9,8,7,5,2
9,7,8,5,2
9,8,10,5,2
9,7,3,5,2
9,8,3,4,2
9,8,7,4,2
9,7,3,4,2
9,7,5,3,2
9,8,5,3,2
9,8,7,3,2
9,7,8,3,2
9,7,4,3,2
9,8,5,1,2
9,7,5,0,1,2
9,7,5,3,8,2
9,7,3,5,8,2
9,7,5,10,8,2
9,12,11,10,8,2
9,12,15,11,8,2
9,13,12,11,8,2
9,7,4,3,8,2
9,8,3,4,7,2
9,8,10,5,7,2
9,8,3,5,7,2
9,12,11,8,7,2
9,8,5,3,7,2
9,7,8,3,5,2
9,8,7,3,5,2
9,8,3,7,5,2
9,7,3,8,5,2
9,12,11,8,5,2
9,12,11,10,5,2
9,8,11,10,5,2
9,7,8,10,5,2
9,7,4,3,5,2
9,8,7,3,4,2
9,8,5,3,4,2
9,7,5,3,4,2
9,8,3,7,4,2
9,8,5,7,4,2
9,7,8,3,4,2
9,8,10,5,3,2
9,7,8,5,3,2
9,8,7,5,3,2
9,8,5,7,3,2
9,12,11,8,3,2
9,7,5,8,3,2
9,8,7,4,3,2
9,8,5,0,1,2
9,7,3,5,1,2
9,8,10,5,1,2
9,7,8,5,1,2
9,8,7,5,1,2
9,8,3,5,1,2
