9,12,22
9,13,12,22
9,12,21,22
9,13,17,22
9,12,17,22
9,12,15,22
9,8,11,12,22
9,13,17,23,22
9,12,17,23,22
9,12,15,21,22
9,12,17,21,22
9,13,17,21,22
9,13,12,21,22
9,12,13,17,22
9,12,15,17,22
9,12,21,17,22
9,13,12,17,22
9,12,11,15,22
9,13,12,15,22
9,12,17,15,22
9,13,17,15,22
9,12,21,15,22
9,8,11,15,22
9,13,17,12,22
9,7,8,11,12,22
9,12,21,17,23,22
9,12,15,17,23,22
9,12,13,17,23,22
9,13,12,17,23,22
9,13,17,12,21,22
9,8,11,15,21,22
9,13,17,15,21,22
9,12,17,15,21,22
9,13,12,15,21,22
9,12,11,15,21,22
9,13,12,17,21,22
9,12,15,17,21,22
9,12,13,17,21,22
9,12,15,20,21,22
9,8,11,12,21,22
9,8,11,15,17,22
9,12,21,15,17,22
9,13,12,15,17,22
9,12,11,15,17,22
9,13,12,21,17,22
9,12,15,21,17,22
9,8,11,12,17,22
9,13,12,11,15,22
9,8,10,11,15,22
9,8,11,12,15,22
9,13,17,12,15,22
9,8,10,14,15,22
9,13,12,17,15,22
9,12,21,17,15,22
9,12,13,17,15,22
9,12,21,20,15,22
9,13,12,21,15,22
9,13,17,21,15,22
9,12,17,21,15,22
9,7,8,11,15,22
9,8,10,11,12,22
9,8,11,15,12,22
9,13,17,15,12,22
9,13,17,21,12,22
