9,7,3
9,8,3
9,7,2,3
9,7,8,3
9,8,7,3
9,8,5,3
9,7,5,3
9,7,4,3
9,8,2,3
9,7,4,2,3
9,7,5,8,3
9,12,11,8,3
9,7,2,8,3
9,8,5,7,3
9,8,2,7,3
9,8,2,5,3
9,8,7,5,3
9,7,8,5,3
9,8,10,5,3
9,7,2,5,3
9,8,2,4,3
9,8,7,4,3
9,7,2,4,3
9,7,5,2,3
9,8,5,2,3
9,8,7,2,3
9,7,8,2,3
9,8,5,1,2,3
9,7,5,2,8,3
9,7,2,5,8,3
9,7,5,10,8,3
9,12,11,10,8,3
9,12,15,11,8,3
9,13,12,11,8,3
9,7,4,2,8,3
9,8,2,4,7,3
9,8,10,5,7,3
9,8,2,5,7,3
9,12,11,8,7,3
9,8,5,2,7,3
9,8,2,1,5,3
9,7,4,2,5,3
9,7,8,2,5,3
9,8,7,2,5,3
9,8,2,7,5,3
9,7,2,8,5,3
9,12,11,8,5,3
9,12,11,10,5,3
9,8,11,10,5,3
9,7,8,10,5,3
9,7,2,1,5,3
9,8,7,2,4,3
9,8,5,2,4,3
9,7,5,2,4,3
9,8,2,7,4,3
9,8,5,7,4,3
9,7,8,2,4,3
9,7,5,1,2,3
9,8,7,4,2,3
9,8,10,5,2,3
9,7,8,5,2,3
9,8,7,5,2,3
9,8,5,7,2,3
9,12,11,8,2,3
9,7,5,8,2,3
