9,7,4
9,7,2,4
9,8,7,4
9,8,3,4
9,7,3,4
9,8,2,4
9,7,3,2,4
9,8,3,7,4
9,8,5,7,4
9,8,2,7,4
9,8,2,3,4
9,7,5,3,4
9,8,5,3,4
9,8,7,3,4
9,7,8,3,4
9,7,2,3,4
9,8,3,2,4
9,7,5,2,4
9,8,5,2,4
9,8,7,2,4
9,7,8,2,4
9,8,5,1,2,4
9,8,3,2,7,4
9,8,5,3,7,4
9,8,2,3,7,4
9,8,10,5,7,4
9,8,3,5,7,4
9,8,2,5,7,4
9,12,11,8,7,4
9,8,5,2,7,4
9,8,7,2,3,4
9,8,5,2,3,4
9,7,5,2,3,4
9,7,2,5,3,4
9,8,10,5,3,4
9,7,8,5,3,4
9,8,7,5,3,4
9,8,2,5,3,4
9,8,2,7,3,4
9,8,5,7,3,4
9,7,2,8,3,4
9,12,11,8,3,4
9,7,5,8,3,4
9,7,8,2,3,4
9,7,5,1,2,4
9,7,8,3,2,4
9,8,7,3,2,4
9,8,5,3,2,4
9,7,5,3,2,4
9,8,10,5,2,4
9,7,8,5,2,4
9,8,7,5,2,4
9,8,3,5,2,4
9,7,3,5,2,4
9,8,5,7,2,4
9,8,3,7,2,4
9,12,11,8,2,4
9,7,5,8,2,4
9,7,3,8,2,4
