1,2,4
1,5,2,4
1,5,7,4
1,2,7,4
1,5,3,4
1,2,3,4
1,5,3,2,4
1,2,3,7,4
1,5,3,7,4
1,0,5,7,4
1,2,5,7,4
1,2,8,7,4
1,5,8,7,4
1,5,2,7,4
1,0,5,3,4
1,2,5,3,4
1,2,7,3,4
1,5,7,3,4
1,2,8,3,4
1,5,8,3,4
1,5,2,3,4
1,0,5,2,4
1,5,7,2,4
1,5,8,2,4
1,5,8,3,2,4
1,5,8,2,7,4
1,0,5,2,7,4
1,5,2,3,7,4
1,5,8,3,7,4
1,2,8,3,7,4
1,2,5,3,7,4
1,0,5,3,7,4
1,2,3,5,7,4
1,2,8,5,7,4
1,5,2,8,7,4
1,5,10,8,7,4
1,2,5,8,7,4
1,0,5,8,7,4
1,5,3,8,7,4
1,2,3,8,7,4
1,5,8,9,7,4
1,2,8,9,7,4
1,5,3,2,7,4
1,5,7,2,3,4
1,0,5,2,3,4
1,2,8,5,3,4
1,2,7,5,3,4
1,5,2,7,3,4
1,5,8,7,3,4
1,2,8,7,3,4
1,2,5,7,3,4
1,0,5,7,3,4
1,5,2,8,3,4
1,5,10,8,3,4
1,5,7,8,3,4
1,2,7,8,3,4
1,2,5,8,3,4
1,0,5,8,3,4
1,5,8,2,3,4
1,5,7,3,2,4
1,0,5,3,2,4
1,5,8,7,2,4
1,0,5,7,2,4
1,5,3,7,2,4
1,5,10,8,2,4
1,5,7,8,2,4
1,0,5,8,2,4
1,5,3,8,2,4
1,0,5,8,3,2,4
1,5,3,8,2,7,4
1,0,5,8,2,7,4
1,5,10,8,2,7,4
1,0,5,3,2,7,4
1,5,8,2,3,7,4
1,0,5,8,3,7,4
1,2,5,8,3,7,4
1,5,10,8,3,7,4
1,5,2,8,3,7,4
1,2,8,5,3,7,4
1,0,5,2,3,7,4
1,2,8,3,5,7,4
1,2,8,10,5,7,4
1,2,3,8,5,7,4
1,5,3,2,8,7,4
1,5,10,11,8,7,4
1,2,5,10,8,7,4
1,0,5,10,8,7,4
1,2,3,5,8,7,4
1,0,5,3,8,7,4
1,2,5,3,8,7,4
1,5,2,3,8,7,4
1,0,5,2,8,7,4
1,2,3,8,9,7,4
1,5,3,8,9,7,4
1,0,5,8,9,7,4
1,2,5,8,9,7,4
1,5,10,8,9,7,4
1,5,2,8,9,7,4
1,5,8,3,2,7,4
1,5,7,8,2,3,4
1,5,10,8,2,3,4
1,0,5,7,2,3,4
1,5,8,7,2,3,4
1,2,8,10,5,3,4
1,2,7,8,5,3,4
1,2,8,7,5,3,4
1,2,8,9,7,3,4
1,5,8,9,7,3,4
1,0,5,8,7,3,4
1,2,5,8,7,3,4
1,5,10,8,7,3,4
1,5,2,8,7,3,4
1,2,8,5,7,3,4
1,0,5,2,7,3,4
1,5,8,2,7,3,4
1,5,10,11,8,3,4
1,2,5,10,8,3,4
1,0,5,10,8,3,4
1,5,7,9,8,3,4
1,2,7,9,8,3,4
1,0,5,7,8,3,4
1,2,5,7,8,3,4
1,5,2,7,8,3,4
1,2,7,5,8,3,4
1,0,5,2,8,3,4
1,5,7,2,8,3,4
1,0,5,8,2,3,4
1,5,7,8,3,2,4
1,5,10,8,3,2,4
1,0,5,7,3,2,4
1,5,8,7,3,2,4
1,5,8,9,7,2,4
1,5,3,8,7,2,4
1,0,5,8,7,2,4
1,5,10,8,7,2,4
1,0,5,3,7,2,4
1,5,8,3,7,2,4
1,5,10,11,8,2,4
1,0,5,10,8,2,4
1,5,7,9,8,2,4
1,5,3,7,8,2,4
1,0,5,7,8,2,4
1,0,5,3,8,2,4
1,5,7,3,8,2,4
1,0,5,7,8,3,2,4
1,0,5,3,8,2,7,4
1,0,5,10,8,2,7,4
1,5,10,11,8,2,7,4
1,5,10,8,3,2,7,4
1,0,5,8,2,3,7,4
1,0,5,2,8,3,7,4
1,0,5,10,8,3,7,4
1,2,5,10,8,3,7,4
1,5,10,11,8,3,7,4
1,2,8,10,5,3,7,4
1,5,10,8,2,3,7,4
1,2,3,8,10,5,7,4
1,2,8,11,10,5,7,4
1,0,5,10,11,8,7,4
1,2,5,10,11,8,7,4
1,2,3,5,10,8,7,4
1,0,5,2,3,8,7,4
1,0,5,3,2,8,7,4
1,2,8,11,12,9,7,4
1,5,10,11,12,9,7,4
1,5,8,11,12,9,7,4
1,0,5,2,8,9,7,4
1,5,2,3,8,9,7,4
1,2,5,3,8,9,7,4
1,0,5,3,8,9,7,4
1,2,3,5,8,9,7,4
1,0,5,10,8,9,7,4
1,2,5,10,8,9,7,4
1,5,10,11,8,9,7,4
1,5,3,2,8,9,7,4
1,0,5,8,3,2,7,4
1,5,7,9,8,2,3,4
1,0,5,10,8,2,3,4
1,5,10,11,8,2,3,4
1,5,10,8,7,2,3,4
1,0,5,8,7,2,3,4
1,5,8,9,7,2,3,4
1,2,8,9,7,5,3,4
1,2,7,8,10,5,3,4
1,2,8,11,10,5,3,4
1,2,7,9,8,5,3,4
1,5,2,8,9,7,3,4
1,5,10,8,9,7,3,4
1,2,5,8,9,7,3,4
1,0,5,8,9,7,3,4
1,0,5,2,8,7,3,4
1,0,5,10,8,7,3,4
1,2,5,10,8,7,3,4
1,5,10,11,8,7,3,4
1,2,8,10,5,7,3,4
1,5,10,8,2,7,3,4
1,0,5,8,2,7,3,4
1,0,5,7,2,8,3,4
1,0,5,10,11,8,3,4
1,2,5,10,11,8,3,4
1,2,7,5,10,8,3,4
1,2,5,7,9,8,3,4
1,0,5,7,9,8,3,4
1,5,2,7,9,8,3,4
1,0,5,2,7,8,3,4
1,0,5,7,8,2,3,4
1,5,7,9,8,3,2,4
1,0,5,10,8,3,2,4
1,5,10,11,8,3,2,4
1,5,10,8,7,3,2,4
1,0,5,8,7,3,2,4
1,5,8,9,7,3,2,4
1,5,10,8,9,7,2,4
1,0,5,8,9,7,2,4
1,5,3,8,9,7,2,4
1,0,5,3,8,7,2,4
1,0,5,10,8,7,2,4
1,5,10,11,8,7,2,4
1,5,10,8,3,7,2,4
1,0,5,8,3,7,2,4
1,0,5,10,11,8,2,4
1,0,5,7,9,8,2,4
1,5,3,7,9,8,2,4
1,0,5,3,7,8,2,4
1,0,5,7,3,8,2,4
1,0,5,7,9,8,3,2,4
1,5,10,11,8,3,2,7,4
1,0,5,10,8,3,2,7,4
1,2,5,10,11,8,3,7,4
1,0,5,10,11,8,3,7,4
1,2,8,11,10,5,3,7,4
1,5,10,11,8,2,3,7,4
1,0,5,10,8,2,3,7,4
1,2,3,8,11,10,5,7,4
1,2,3,5,10,11,8,7,4
1,5,10,14,15,11,8,7,4
1,5,10,11,12,9,8,7,4
1,0,5,10,11,8,9,7,4
1,5,8,11,12,13,9,7,4
1,5,10,11,12,13,9,7,4
1,2,8,11,12,13,9,7,4
1,5,2,8,11,12,9,7,4
1,2,5,10,11,12,9,7,4
1,2,8,10,11,12,9,7,4
1,5,8,10,11,12,9,7,4
1,0,5,10,11,12,9,7,4
1,2,3,8,11,12,9,7,4
1,5,3,8,11,12,9,7,4
1,0,5,8,11,12,9,7,4
1,2,5,8,11,12,9,7,4
1,5,10,8,11,12,9,7,4
1,2,8,11,15,12,9,7,4
1,5,10,14,15,12,9,7,4
1,5,10,11,15,12,9,7,4
1,5,8,11,15,12,9,7,4
1,0,5,3,2,8,9,7,4
1,0,5,2,3,8,9,7,4
1,2,3,5,10,8,9,7,4
1,2,5,10,11,8,9,7,4
1,0,5,10,11,8,2,7,4
1,0,5,10,11,8,2,3,4
1,5,10,11,8,7,2,3,4
1,0,5,10,8,7,2,3,4
1,0,5,8,9,7,2,3,4
1,5,10,8,9,7,2,3,4
1,2,7,8,11,10,5,3,4
1,2,7,9,8,10,5,3,4
1,5,10,11,8,9,7,3,4
1,2,5,10,8,9,7,3,4
1,0,5,10,8,9,7,3,4
1,0,5,2,8,9,7,3,4
1,5,8,11,12,9,7,3,4
1,5,10,11,12,9,7,3,4
1,2,8,11,12,9,7,3,4
1,2,5,10,11,8,7,3,4
1,0,5,10,11,8,7,3,4
1,2,8,11,10,5,7,3,4
1,5,10,11,8,2,7,3,4
1,0,5,10,8,2,7,3,4
1,2,7,5,10,11,8,3,4
1,2,7,9,12,11,8,3,4
1,5,7,9,12,11,8,3,4
1,5,10,14,15,11,8,3,4
1,0,5,2,7,9,8,3,4
1,5,10,11,12,9,8,3,4
1,0,5,7,9,8,2,3,4
1,0,5,10,11,8,3,2,4
1,5,10,11,8,7,3,2,4
1,0,5,10,8,7,3,2,4
1,0,5,8,9,7,3,2,4
1,5,10,8,9,7,3,2,4
1,5,10,11,8,9,7,2,4
1,0,5,10,8,9,7,2,4
1,0,5,3,8,9,7,2,4
1,5,8,11,12,9,7,2,4
1,5,10,11,12,9,7,2,4
1,0,5,10,11,8,7,2,4
1,5,10,11,8,3,7,2,4
1,0,5,10,8,3,7,2,4
1,0,5,3,7,9,8,2,4
1,5,7,9,12,11,8,2,4
1,5,10,14,15,11,8,2,4
1,5,10,11,12,9,8,2,4
