5,7,9,12,21
5,10,14,20,21
5,10,18,20,21
5,10,11,15,21
5,10,14,15,21
5,8,11,15,21
5,10,11,12,21
5,8,11,12,21
5,8,9,12,21
5,2,7,9,12,21
5,8,9,12,22,21
5,8,11,12,22,21
5,10,11,12,22,21
5,8,11,15,22,21
5,10,14,15,22,21
5,10,11,15,22,21
5,7,9,12,22,21
5,8,10,14,20,21
5,8,11,15,20,21
5,10,14,15,20,21
5,10,11,15,20,21
5,8,10,18,20,21
5,10,14,18,20,21
5,10,18,14,20,21
5,8,9,12,17,21
5,8,11,12,17,21
5,10,11,12,17,21
5,7,9,13,17,21
5,8,9,13,17,21
5,8,11,15,17,21
5,10,14,15,17,21
5,10,11,15,17,21
5,7,9,12,17,21
5,8,10,11,15,21
5,3,8,11,15,21
5,7,8,11,15,21
5,10,8,11,15,21
5,7,9,12,15,21
5,10,11,12,15,21
5,8,11,12,15,21
5,8,9,12,15,21
5,10,18,14,15,21
5,8,10,14,15,21
5,10,18,20,15,21
5,10,14,20,15,21
5,2,8,11,15,21
5,3,8,9,12,21
5,7,8,9,12,21
5,10,8,9,12,21
5,2,8,9,12,21
5,3,7,9,12,21
5,8,7,9,12,21
5,2,8,11,12,21
5,8,10,11,12,21
5,3,8,11,12,21
5,7,8,11,12,21
5,10,8,11,12,21
5,7,9,13,12,21
5,8,9,13,12,21
5,8,11,15,12,21
5,10,14,15,12,21
5,10,11,15,12,21
5,1,2,7,9,12,21
5,10,11,15,12,22,21
5,10,14,15,12,22,21
5,8,11,15,12,22,21
5,8,9,13,12,22,21
5,7,9,13,12,22,21
5,10,8,11,12,22,21
5,7,8,11,12,22,21
5,3,8,11,12,22,21
5,8,10,11,12,22,21
5,2,8,11,12,22,21
5,8,7,9,12,22,21
5,3,7,9,12,22,21
5,2,8,9,12,22,21
5,10,8,9,12,22,21
5,7,8,9,12,22,21
5,3,8,9,12,22,21
5,2,8,11,15,22,21
5,10,14,20,15,22,21
5,10,18,20,15,22,21
5,8,10,14,15,22,21
5,10,18,14,15,22,21
5,8,9,12,15,22,21
5,8,11,12,15,22,21
5,10,11,12,15,22,21
5,7,9,12,15,22,21
5,10,8,11,15,22,21
5,7,8,11,15,22,21
5,3,8,11,15,22,21
5,8,10,11,15,22,21
5,7,9,12,17,22,21
5,10,11,15,17,22,21
5,10,14,15,17,22,21
5,8,11,15,17,22,21
5,8,9,13,17,22,21
5,7,9,13,17,22,21
5,10,11,12,17,22,21
5,8,11,12,17,22,21
5,8,9,12,17,22,21
5,2,7,9,12,22,21
5,8,10,18,14,20,21
5,10,11,15,14,20,21
5,8,11,15,14,20,21
5,7,8,10,14,20,21
5,3,8,10,14,20,21
5,8,11,10,14,20,21
5,2,8,11,15,20,21
5,8,10,14,15,20,21
5,10,18,14,15,20,21
5,8,9,12,15,20,21
5,8,11,12,15,20,21
5,10,11,12,15,20,21
5,7,9,12,15,20,21
5,10,8,11,15,20,21
5,7,8,11,15,20,21
5,3,8,11,15,20,21
5,8,10,11,15,20,21
5,2,8,10,18,20,21
5,8,10,14,18,20,21
5,7,8,10,18,20,21
5,3,8,10,18,20,21
5,8,11,10,18,20,21
5,2,8,10,14,20,21
5,10,11,15,12,17,21
5,10,14,15,12,17,21
5,8,11,15,12,17,21
5,8,9,13,12,17,21
5,7,9,13,12,17,21
5,10,8,11,12,17,21
5,7,8,11,12,17,21
5,3,8,11,12,17,21
5,8,10,11,12,17,21
5,2,8,11,12,17,21
5,8,7,9,12,17,21
5,3,7,9,12,17,21
5,2,8,9,12,17,21
5,10,8,9,12,17,21
5,7,8,9,12,17,21
5,3,8,9,12,17,21
5,2,7,9,13,17,21
5,8,9,12,13,17,21
5,8,11,12,13,17,21
5,10,11,12,13,17,21
5,7,9,12,13,17,21
5,8,7,9,13,17,21
5,3,7,9,13,17,21
5,2,8,9,13,17,21
5,10,8,9,13,17,21
5,7,8,9,13,17,21
5,3,8,9,13,17,21
5,2,8,11,15,17,21
5,10,14,20,15,17,21
5,10,18,20,15,17,21
5,8,10,14,15,17,21
5,10,18,14,15,17,21
5,8,9,12,15,17,21
5,8,11,12,15,17,21
5,10,11,12,15,17,21
5,7,9,12,15,17,21
5,10,8,11,15,17,21
5,7,8,11,15,17,21
5,3,8,11,15,17,21
5,8,10,11,15,17,21
5,7,9,12,22,17,21
5,10,11,15,22,17,21
5,10,14,15,22,17,21
5,8,11,15,22,17,21
5,10,11,12,22,17,21
5,8,11,12,22,17,21
5,8,9,12,22,17,21
5,2,7,9,12,17,21
5,8,9,12,11,15,21
5,7,9,12,11,15,21
5,7,8,10,11,15,21
5,3,8,10,11,15,21
5,2,8,10,11,15,21
5,7,2,8,11,15,21
5,3,2,8,11,15,21
5,2,3,8,11,15,21
5,7,3,8,11,15,21
5,2,7,8,11,15,21
5,3,7,8,11,15,21
5,7,9,8,11,15,21
5,2,7,9,12,15,21
5,8,9,13,12,15,21
5,7,9,13,12,15,21
5,10,8,11,12,15,21
5,7,8,11,12,15,21
5,3,8,11,12,15,21
5,8,10,11,12,15,21
5,2,8,11,12,15,21
5,8,7,9,12,15,21
5,3,7,9,12,15,21
5,2,8,9,12,15,21
5,10,8,9,12,15,21
5,7,8,9,12,15,21
5,3,8,9,12,15,21
5,2,8,10,14,15,21
5,10,18,20,14,15,21
5,8,10,18,14,15,21
5,7,8,10,14,15,21
5,3,8,10,14,15,21
5,8,11,10,14,15,21
5,7,9,12,17,15,21
5,8,9,13,17,15,21
5,7,9,13,17,15,21
5,10,11,12,17,15,21
5,8,11,12,17,15,21
5,8,9,12,17,15,21
5,10,18,14,20,15,21
5,10,14,18,20,15,21
5,8,10,18,20,15,21
5,8,10,14,20,15,21
5,7,9,12,22,15,21
5,10,11,12,22,15,21
5,8,11,12,22,15,21
5,8,9,12,22,15,21
5,1,2,8,11,15,21
5,7,2,8,9,12,21
5,3,2,8,9,12,21
5,2,3,8,9,12,21
5,7,3,8,9,12,21
5,2,7,8,9,12,21
5,3,7,8,9,12,21
5,10,11,8,9,12,21
5,1,2,8,9,12,21
5,8,2,7,9,12,21
5,3,2,7,9,12,21
5,2,3,7,9,12,21
5,8,3,7,9,12,21
5,2,4,7,9,12,21
5,3,4,7,9,12,21
5,2,8,7,9,12,21
5,10,8,7,9,12,21
5,3,8,7,9,12,21
5,1,2,8,11,12,21
5,10,14,15,11,12,21
5,7,8,10,11,12,21
5,3,8,10,11,12,21
5,2,8,10,11,12,21
5,7,2,8,11,12,21
5,3,2,8,11,12,21
5,2,3,8,11,12,21
5,7,3,8,11,12,21
5,2,7,8,11,12,21
5,3,7,8,11,12,21
5,7,9,8,11,12,21
5,2,7,9,13,12,21
5,8,7,9,13,12,21
5,3,7,9,13,12,21
5,2,8,9,13,12,21
5,10,8,9,13,12,21
5,7,8,9,13,12,21
5,3,8,9,13,12,21
5,2,8,11,15,12,21
5,10,14,20,15,12,21
5,10,18,20,15,12,21
5,8,10,14,15,12,21
5,10,18,14,15,12,21
5,10,8,11,15,12,21
5,7,8,11,15,12,21
5,3,8,11,15,12,21
5,8,10,11,15,12,21
5,10,11,15,17,12,21
5,10,14,15,17,12,21
5,8,11,15,17,12,21
5,8,9,13,17,12,21
5,7,9,13,17,12,21
5,10,11,15,22,12,21
5,10,14,15,22,12,21
5,8,11,15,22,12,21
5,0,1,2,7,9,12,21
5,7,9,13,17,12,22,21
